job_title,company_size,posted_date,year,quarter,description,years_experience_true,skill_count_true,degree_level_true,years_experience_extracted,skills_extracted,skill_count_extracted,degree_level_extracted,buzzword_count
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Python, Looker, Snowflake, Airflow. None mentioned. We're looking for someone who can scrappy.",2,4,None mentioned,2,Python|Looker|Snowflake|Airflow,4,None mentioned,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 1+ years of experience. Required skills: SQL, Git, Salesforce. None mentioned. self-starter",1,3,None mentioned,1,SQL|Git|Salesforce,3,None mentioned,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,We are looking for a Data Analyst with 2+ years of experience. Required skills: SAP. Bachelor's preferred. ambiguity,2,1,Bachelor's preferred,2,SAP,1,Bachelor's preferred,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 4 years of relevant experience and is proficient in Airflow, Machine Learning, Spark, AWS, Statistics, Python. None mentioned. We're looking for someone who can self-starter.",4,6,None mentioned,4,Python|AWS|Airflow|Spark|Statistics|Machine Learning,6,None mentioned,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in dbt, R. None mentioned. We're looking for someone who can ownership mindset.",2,2,None mentioned,2,R|dbt,2,None mentioned,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: Statistics, Salesforce. Bachelor's preferred. wear many hats",2,2,Bachelor's preferred,2,Statistics|Salesforce,2,Bachelor's preferred,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 1+ years of experience. Required skills: Excel, GCP, Statistics, Azure, Python. Master's preferred. fast-paced environment",1,5,Master's preferred,1,Python|Excel|Azure|GCP|Statistics,5,Master's preferred,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 3 years of relevant experience and is proficient in Looker, Spark. None mentioned. We're looking for someone who can scrappy.",3,2,None mentioned,3,Looker|Spark,2,None mentioned,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,We are looking for a Data Analyst with 0+ years of experience. Required skills: AWS. Bachelor's preferred. self-starter,0,1,Bachelor's preferred,0,AWS,1,Bachelor's preferred,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 4 years of relevant experience and is proficient in Snowflake, SQL, Statistics. None mentioned. We're looking for someone who can scrappy.",4,3,None mentioned,4,SQL|Snowflake|Statistics,3,None mentioned,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Tableau, Statistics, Airflow. Master's preferred. We're looking for someone who can wear many hats.",2,3,Master's preferred,2,Tableau|Airflow|Statistics,3,Master's preferred,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Power BI. Minimum 2 years experience required. Bachelor's preferred. Must thrive in a wear many hats.",2,1,Bachelor's preferred,2,Power BI,1,Bachelor's preferred,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: A/B Testing, SQL, Looker. None mentioned. ownership mindset",2,3,None mentioned,2,SQL|Looker|A/B Testing,3,None mentioned,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Spark, A/B Testing, Airflow, SAP. None mentioned. We're looking for someone who can fast-paced environment.",2,4,None mentioned,2,Airflow|Spark|A/B Testing|SAP,4,None mentioned,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Python, Snowflake, GCP, AWS. None mentioned. We're looking for someone who can ownership mindset.",2,4,None mentioned,2,Python|AWS|GCP|Snowflake,4,None mentioned,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 1 years of relevant experience and is proficient in SQL, dbt, Tableau, Snowflake, Python. Master's preferred. We're looking for someone who can self-starter.",1,5,Master's preferred,1,SQL|Python|Tableau|Snowflake|dbt,5,Master's preferred,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Spark, AWS, Salesforce, Excel, Power BI. None mentioned. We're looking for someone who can ambiguity.",2,5,None mentioned,2,Excel|Power BI|AWS|Spark|Salesforce,5,None mentioned,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: Power BI, Machine Learning, dbt. Bachelor's preferred. ownership mindset",2,3,Bachelor's preferred,2,Power BI|dbt|Machine Learning,3,Bachelor's preferred,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Power BI, Excel, Snowflake. None mentioned. We're looking for someone who can wear many hats.",2,3,None mentioned,2,Excel|Power BI|Snowflake,3,None mentioned,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 1 years of relevant experience and is proficient in dbt, Salesforce, Machine Learning, SQL, Snowflake. Bachelor's preferred. We're looking for someone who can cross-functional collaboration.",1,5,Bachelor's preferred,1,SQL|Snowflake|dbt|Machine Learning|Salesforce,5,Bachelor's preferred,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Azure, Excel, GCP, Power BI. Minimum 3 years experience required. Master's preferred. Must thrive in a stakeholder management.",3,4,Master's preferred,3,Excel|Power BI|Azure|GCP,4,Master's preferred,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Salesforce, SQL, Snowflake, R, AWS. Minimum 2 years experience required. None mentioned. Must thrive in a scrappy.",2,5,None mentioned,2,SQL|R|AWS|Snowflake|Salesforce,5,None mentioned,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with AWS, Statistics, R. Minimum 2 years experience required. Bachelor's required. Must thrive in a cross-functional collaboration.",2,3,Bachelor's required,2,R|AWS|Statistics,3,Bachelor's required,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 5+ years of experience. Required skills: Tableau, Azure, Python. Bachelor's preferred. stakeholder management",5,3,Bachelor's preferred,5,Python|Tableau|Azure,3,Bachelor's preferred,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,Data Analyst - join our team! Ideal candidate has 4 years of relevant experience and is proficient in Looker. Master's preferred. We're looking for someone who can self-starter.,4,1,Master's preferred,4,Looker,1,Master's preferred,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with SQL, Power BI, Snowflake. Minimum 2 years experience required. Master's required. Must thrive in a high-growth.",2,3,Master's required,2,SQL|Power BI|Snowflake,3,Master's required,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,We are looking for a Data Analyst with 2+ years of experience. Required skills: Azure. Bachelor's preferred. stakeholder management,2,1,Bachelor's preferred,2,Azure,1,Bachelor's preferred,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: SAP, Snowflake, Statistics, Tableau. None mentioned. ambiguity",2,4,None mentioned,2,Tableau|Snowflake|Statistics|SAP,4,None mentioned,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Git, Snowflake. None mentioned. We're looking for someone who can ownership mindset.",2,2,None mentioned,2,Snowflake|Git,2,None mentioned,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 1+ years of experience. Required skills: SAP, Machine Learning, A/B Testing. Bachelor's preferred. fast-paced environment",1,3,Bachelor's preferred,1,A/B Testing|Machine Learning|SAP,3,Bachelor's preferred,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with A/B Testing. Minimum 1 years experience required. None mentioned. Must thrive in a self-starter.",1,1,None mentioned,1,A/B Testing,1,None mentioned,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: Python, Statistics. Bachelor's preferred. stakeholder management",2,2,Bachelor's preferred,2,Python|Statistics,2,Bachelor's preferred,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Git, Azure, Power BI, AWS. Minimum 2 years experience required. None mentioned. Must thrive in a ownership mindset.",2,4,None mentioned,2,Power BI|AWS|Azure|Git,4,None mentioned,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 3 years of relevant experience and is proficient in SQL, GCP, SAP, Tableau, Salesforce. Bachelor's required. We're looking for someone who can fast-paced environment.",3,5,Bachelor's required,3,SQL|Tableau|GCP|Salesforce|SAP,5,Bachelor's required,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Excel, Snowflake, Machine Learning, AWS, Azure, A/B Testing. Minimum 3 years experience required. None mentioned. Must thrive in a stakeholder management.",3,6,None mentioned,3,Excel|AWS|Azure|Snowflake|A/B Testing|Machine Learning,6,None mentioned,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Snowflake. Minimum 2 years experience required. Master's required. Must thrive in a high-growth.",2,1,Master's required,2,Snowflake,1,Master's required,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Statistics, Tableau. Minimum 2 years experience required. None mentioned. Must thrive in a ambiguity.",2,2,None mentioned,2,Tableau|Statistics,2,None mentioned,1
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with A/B Testing, R, SQL. Minimum 2 years experience required. None mentioned. Must thrive in a scrappy.",2,3,None mentioned,2,SQL|R|A/B Testing,3,None mentioned,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 0+ years of experience. Required skills: Salesforce, Statistics, Snowflake, Power BI. Master's preferred. scrappy",0,4,Master's preferred,0,Power BI|Snowflake|Statistics|Salesforce,4,Master's preferred,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 3 years of relevant experience and is proficient in Airflow, Azure. Master's required. We're looking for someone who can cross-functional collaboration.",3,2,Master's required,3,Azure|Airflow,2,Master's required,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Looker, Tableau. Minimum 1 years experience required. Bachelor's required. Must thrive in a high-growth.",1,2,Bachelor's required,1,Tableau|Looker,2,Bachelor's required,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 3+ years of experience. Required skills: SAP, Python, AWS. Bachelor's preferred. ownership mindset",3,3,Bachelor's preferred,3,Python|AWS|SAP,3,Bachelor's preferred,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 4 years of relevant experience and is proficient in Spark, GCP. Bachelor's preferred. We're looking for someone who can self-starter.",4,2,Bachelor's preferred,4,GCP|Spark,2,Bachelor's preferred,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in R, SQL, Power BI, Python, GCP. None mentioned. We're looking for someone who can cross-functional collaboration.",2,5,None mentioned,2,SQL|Python|Power BI|R|GCP,5,None mentioned,1
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 4 years of relevant experience and is proficient in Power BI, Airflow, Machine Learning. None mentioned. We're looking for someone who can ambiguity.",4,3,None mentioned,4,Power BI|Airflow|Machine Learning,3,None mentioned,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Looker, SAP. Minimum 2 years experience required. None mentioned. Must thrive in a ownership mindset.",2,2,None mentioned,2,Looker|SAP,2,None mentioned,1
Data Analyst,startup,2022-02-15,2022,2022Q1,Data Analyst - join our team! Ideal candidate has 3 years of relevant experience and is proficient in Snowflake. None mentioned. We're looking for someone who can ambiguity.,3,1,None mentioned,3,Snowflake,1,None mentioned,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 1+ years of experience. Required skills: Airflow, Python, Snowflake. Bachelor's preferred. fast-paced environment",1,3,Bachelor's preferred,1,Python|Snowflake|Airflow,3,Bachelor's preferred,1
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with SQL, Salesforce, Statistics, Airflow. Minimum 4 years experience required. Bachelor's preferred. Must thrive in a self-starter.",4,4,Bachelor's preferred,4,SQL|Airflow|Statistics|Salesforce,4,Bachelor's preferred,1
